Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,2160.0,8.2,8.7,0.4,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Jewish,3.7,37.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2160.0,8.2,8.7,0.4,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Jewish,18.4,37.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,51500.0,8.2,8.7,16.4,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Muslim,6.2,31.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,53235.0,8.2,8.7,8.9,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Muslim,14.8,32.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,61640.0,8.2,8.7,8.1,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Muslim,33.1,37.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,264035.0,8.2,8.7,16.2,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Muslim,32.0,77.3,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,36205.0,8.2,8.7,7.7,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Muslim,10.1,10.6,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,41525.0,8.2,8.7,6.5,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Muslim,22.3,12.1,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,262055.0,8.2,8.7,38.5,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Muslim,31.8,63.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,115550.0,8.2,8.7,8.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Muslim,32.2,28.2,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,32635.0,8.2,8.7,10.6,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Muslim,17.5,8.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,75305.0,8.2,8.7,9.9,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Muslim,9.1,63.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,40635.0,8.2,8.7,3.4,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Muslim,11.3,34.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3530.0,8.2,8.7,5.2,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Muslim,1.9,3.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,70245.0,8.2,8.7,4.9,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Muslim,8.5,48.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,72235.0,8.2,8.7,0.8,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Muslim,20.1,49.4,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3890.0,8.2,8.7,1.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Muslim,2.1,2.7,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,102005.0,8.2,8.7,21.6,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Muslim,12.4,54.7,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,41515.0,8.2,8.7,8.3,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Muslim,11.6,22.3,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,42825.0,8.2,8.7,7.8,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Muslim,23.0,23.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,128735.0,8.2,8.7,40.9,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,No religion,8.0,18.1,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,255190.0,8.2,8.7,42.6,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,No religion,7.9,35.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,326790.0,8.2,8.7,42.9,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,No religion,30.3,46.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,620635.0,8.2,8.7,38.0,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,No religion,38.6,54.6,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,217595.0,8.2,8.7,46.1,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,No religion,6.8,19.2,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,297500.0,8.2,8.7,46.8,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,No religion,27.6,26.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,171180.0,8.2,8.7,25.2,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,No religion,10.6,22.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,493260.0,8.2,8.7,37.1,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,No religion,15.4,63.5,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,112335.0,8.2,8.7,36.4,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,No religion,10.4,14.5,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,293280.0,8.2,8.7,38.6,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,No religion,18.2,38.3,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,445430.0,8.2,8.7,37.2,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,No religion,13.9,58.1,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,27785.0,8.2,8.7,40.8,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,No religion,2.6,3.6,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,230315.0,8.2,8.7,16.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,No religion,14.3,11.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1604465.0,8.2,8.7,18.5,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,No religion,50.0,83.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,98645.0,8.2,8.7,24.3,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,No religion,9.2,5.1,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,165370.0,8.2,8.7,35.1,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,No religion,10.3,28.8,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,194485.0,8.2,8.7,39.0,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,No religion,6.1,33.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,213825.0,8.2,8.7,38.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,No religion,19.9,37.3,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,3945.0,8.2,8.7,1.3,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Sikh,5.8,21.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,5980.0,8.2,8.7,1.0,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Sikh,8.9,33.2,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,8065.0,8.2,8.7,1.1,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Sikh,31.8,44.8,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,19980.0,8.2,8.7,1.2,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Sikh,29.3,69.6,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,3665.0,8.2,8.7,0.8,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Sikh,5.5,12.8,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,5065.0,8.2,8.7,0.8,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Sikh,20.0,17.6,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,13830.0,8.2,8.7,2.0,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Sikh,20.3,49.8,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,10260.0,8.2,8.7,0.8,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Sikh,15.3,37.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3680.0,8.2,8.7,1.2,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Sikh,14.5,13.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,5690.0,8.2,8.7,0.7,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Sikh,8.4,45.7,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6335.0,8.2,8.7,0.5,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Sikh,9.5,50.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,420.0,8.2,8.7,0.6,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Sikh,1.7,3.4,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,15635.0,8.2,8.7,1.1,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Sikh,23.0,29.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,36040.0,8.2,8.7,0.4,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Sikh,53.8,66.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2195.0,8.2,8.7,0.5,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Sikh,8.7,4.1,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,9005.0,8.2,8.7,1.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Sikh,13.2,45.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,4730.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Sikh,7.1,24.1,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,5900.0,8.2,8.7,1.1,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Sikh,23.3,30.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1990.0,8.2,8.7,0.6,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Other religion,6.0,12.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6340.0,8.2,8.7,1.1,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Other religion,8.1,41.1,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,7080.0,8.2,8.7,0.9,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Other religion,33.4,45.9,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,8625.0,8.2,8.7,0.5,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Other religion,25.9,46.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,5535.0,8.2,8.7,1.2,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Other religion,7.1,30.1,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4230.0,8.2,8.7,0.7,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Other religion,19.9,23.0,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,4785.0,8.2,8.7,0.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Other religion,14.3,26.6,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,10860.0,8.2,8.7,0.8,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Other religion,13.9,60.5,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2315.0,8.2,8.7,0.8,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Other religion,10.9,12.9,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,7520.0,8.2,8.7,1.0,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Other religion,22.6,26.1,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,20225.0,8.2,8.7,1.7,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Other religion,26.0,70.2,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1070.0,8.2,8.7,1.6,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Other religion,5.0,3.7,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,6050.0,8.2,8.7,0.4,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Other religion,18.1,16.5,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,28890.0,8.2,8.7,0.3,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Other religion,37.1,78.8,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1705.0,8.2,8.7,0.4,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Other religion,8.0,4.7,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,4385.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Other religion,13.1,28.7,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6075.0,8.2,8.7,1.2,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Other religion,7.8,39.8,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4815.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Other religion,22.7,31.5,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,19785.0,8.2,8.7,6.3,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Not stated,5.2,19.2,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,38645.0,8.2,8.7,6.5,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Not stated,5.2,37.6,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,44425.0,8.2,8.7,5.8,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Not stated,22.6,43.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,143875.0,8.2,8.7,8.8,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Not stated,37.5,52.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,54460.0,8.2,8.7,11.5,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Not stated,7.3,20.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,73830.0,8.2,8.7,11.6,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Not stated,37.5,27.1,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,32395.0,8.2,8.7,4.8,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Not stated,8.4,26.5,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,73350.0,8.2,8.7,5.5,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Not stated,9.9,59.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,16665.0,8.2,8.7,5.4,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Not stated,8.5,13.6,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,56310.0,8.2,8.7,7.4,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Not stated,14.7,41.4,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,75370.0,8.2,8.7,6.3,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Not stated,10.1,55.4,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4350.0,8.2,8.7,6.4,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Not stated,2.2,3.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,96070.0,8.2,8.7,6.7,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Not stated,25.0,16.6,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,461175.0,8.2,8.7,5.3,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Not stated,62.0,79.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,20180.0,8.2,8.7,5.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Not stated,10.2,3.5,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,35160.0,8.2,8.7,7.5,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,9.2,31.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,40620.0,8.2,8.7,8.1,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,5.5,35.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,37460.0,8.2,8.7,6.8,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,,,,,,,,,,,
"No, have never worked",Unemployed,75 and over,139285.0,8.2,8.7,44.3,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Female,4.7,18.5,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,75 and over,269300.0,8.2,8.7,45.0,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Female,3.7,35.7,,,,,,,,
"Yes, in the last 12 months",Unemployed,75 and over,345040.0,8.2,8.7,45.3,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Female,24.3,45.8,,,,,,,,
"No, have never worked",Economically Inactive - Student,75 and over,774410.0,8.2,8.7,47.4,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Female,25.9,55.4,,,,,,,,
